1212 AMSTEG, 8.617243 46.783087;8.846372 46.780493;8.843558 46.672564;8.614888 46.675153;8.617243 46.783087
1213 TRUN, 8.846372 46.780493;9.075476 46.777439;9.072205 46.669517;8.843558 46.672564;8.846372 46.780493
1214 ILANZ, 9.075476 46.777439;9.304553 46.773926;9.300823 46.666011;9.072205 46.669517;9.075476 46.777439
1215 THUSIS, 9.304553 46.773926;9.533598 46.769953;9.52941 46.662046;9.300823 46.666011;9.304553 46.773926
1216 FILISUR, 9.533598 46.769953;9.762607 46.765521;9.757961 46.657622;9.52941 46.662046;9.533598 46.769953
1217 SCALETTAPASS, 9.762607 46.765521;9.991577 46.760628;9.986473 46.652739;9.757961 46.657622;9.762607 46.765521
1218 ZERNEZ, 9.991577 46.760628;10.220504 46.755277;10.214942 46.647398;9.986473 46.652739;9.991577 46.760628
1219 S-CHARL, 10.220504 46.755277;10.449383 46.749465;10.443363 46.641598;10.214942 46.647398;10.220504 46.755277
2220 GLORENZA, 10.449383 46.749465;10.678211 46.743194;10.671733 46.635339;10.443363 46.641598;10.449383 46.749465
1221 LE SENTIER, 6.099049 46.673351;6.327725 46.675808;6.329941 46.567873;6.101721 46.56542;6.099049 46.673351
1222 COSSONAY, 6.327725 46.675808;6.55642 46.677807;6.55818 46.569867;6.329941 46.567873;6.327725 46.675808
1223 ECHALLENS, 6.55642 46.677807;6.785131 46.679347;6.786434 46.571404;6.55818 46.569867;6.55642 46.677807
1224 MOUDON, 6.785131 46.679347;7.013852 46.680429;7.0147 46.572484;6.786434 46.571404;6.785131 46.679347
1225 GRUYERES, 7.013852 46.680429;7.242581 46.681051;7.242972 46.573105;7.0147 46.572484;7.013852 46.680429
1226 BOLTIGEN, 7.242581 46.681051;7.471313 46.681215;7.471248 46.573269;7.242972 46.573105;7.242581 46.681051
1227 NIESEN, 7.471313 46.681215;7.700045 46.68092;7.699523 46.572974;7.471248 46.573269;7.471313 46.681215
1228 LAUTERBRUNNEN, 7.700045 46.68092;7.928772 46.680167;7.927794 46.572222;7.699523 46.572974;7.700045 46.68092
1229 GRINDELWALD, 7.928772 46.680167;8.157491 46.678954;8.156057 46.571012;7.927794 46.572222;7.928772 46.680167
1230 GUTTANNEN, 8.157491 46.678954;8.386197 46.677283;8.384307 46.569344;8.156057 46.571012;8.157491 46.678954
1231 URSEREN, 8.386197 46.677283;8.614888 46.675153;8.612541 46.567218;8.384307 46.569344;8.386197 46.677283
1232 OBERALPPASS, 8.614888 46.675153;8.843558 46.672564;8.840756 46.564635;8.612541 46.567218;8.614888 46.675153
1233 GREINA, 8.843558 46.672564;9.072205 46.669517;9.068946 46.561593;8.840756 46.564635;8.843558 46.672564
1234 VALS, 9.072205 46.669517;9.300823 46.666011;9.297108 46.558094;9.068946 46.561593;9.072205 46.669517
